code;name
A;Agriculture, forestry and fishing
B;Mining and quarrying
C;Manufacturing industry
D;Electricity, gas, steam and air conditioning production and distribution
E;"Water production and distribution; sewerage, waste management and remediation"
F;Construction
G;"Trade; repair of motor vehicles and motorcycles"
H;Transportation and warehousing
I;Accommodation and catering
J;Information and communication
K;Financial and insurance activities
L;Real estate activities
M;Specialized, scientific and technical activities
N;Administrative and support service activities
O;Public administration
P;Education
Q;Human health and social work
R;Arts, entertainment and recreation
S;Other service activities
T;"Activities of households as employers; undifferentiated activities of households as producers of goods and services for own use"
U;Extra-territorial activities
01;Crop and animal production, hunting and related services
02;Forestry and logging
03;Fishing and aquaculture
05;Mining of hard coal and lignite
06;Extraction of hydrocarbons
07;Mining of metal ores
08;Other mining and quarrying
09;Support services to mining and quarrying
10;Food industry
11;Manufacture of beverages
12;Manufacture of tobacco products
13;Textile manufacturing
14;Clothing industry
15;Leather and footwear industry
16;"Woodworking and manufacture of articles of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
17;Paper and cardboard industry
18;Printing and reproduction of records
19;Coking and refining
20;Chemical industry
21;Pharmaceutical industry
22;Manufacture of rubber and plastic products
23;Manufacture of other non-metallic mineral products
24;Metallurgy
25;Manufacture of metal products, except machinery and equipment
26;Manufacture of computer, electronic and optical products
27;Manufacture of electrical equipment
28;Manufacture of machinery and equipment n.e.c.
29;Automotive industry
30;Manufacture of other transport equipment
31;Manufacture of furniture
32;Other manufacturing industries
33;Repair and installation of machinery and equipment
35;Electricity, gas, steam and air conditioning production and distribution
36;Water collection, treatment and distribution
37;Wastewater collection and treatment
38;"Waste collection, treatment and disposal; recovery"
39;Pollution control and other waste management services
41;Building construction
42;Civil engineering
43;Specialized construction work
45;Sale and repair of motor vehicles and motorcycles
46;Wholesale trade, except of motor vehicles and motorcycles
47;Retail trade, except automobiles and motorcycles
49;Land and pipeline transport
50;Water transport
51;Air transport
52;Warehousing and auxiliary transport services
53;Postal and courier activities
55;Lodging
56;Catering
58;Publishing
59;"Motion picture, video and television program production; sound recording and music publishing"
60;Programming and broadcasting
61;Telecommunications
62;Programming, consulting and other IT activities
63;Information services
64;Financial services, except insurance and pension funding
65;Insurance
66;Activities auxiliary to financial services and insurance
68;Real estate activities
69;Legal and accounting activities
70;"Activities of head offices; management consulting"
71;"Architectural and engineering activities; technical testing and analysis activities"
72;Scientific research and development
73;Advertising and market research
74;Other specialized, scientific and technical activities
75;Veterinary activities
77;Rental and leasing activities
78;Employment-related activities
79;Travel agency, tour operator, reservation service and related activities
80;Investigation and security
81;Building services and landscaping
82;Administrative and other business support activities
84;"Public administration and defense; compulsory social security"
85;Education
86;Human health activities
87;Medical and social accommodation
88;Social work activities without accommodation
90;Creative, artistic and entertainment activities
91;Libraries, archives, museums and other cultural activities
92;Gambling and betting activities
93;Sporting, recreational and leisure activities
94;Activities of membership organizations
95;Repair of computers and personal and household goods
