code;name
A;Agriculture, hunting, forestry
B;Fishing, aquaculture
C;Mining and quarrying
D;Manufacturing industry
E;Electricity, gas and water production and distribution
F;Construction
G;"Trade; repair of motor vehicles and household goods"
H;Hotels and restaurants
I;Transport and communications
J;Financial activities
K;Real estate, rental and business services
L;Public administration
M;Education
N;Health and social work
O;Community, social and personal services
P;Domestic services
Q;Extra-territorial activities
AA;Agriculture, hunting, forestry
BB;Fishing, aquaculture
CA;Extraction of energy products
CB;Extraction of non-energy products
DA;Agricultural and food industries
DB;Textile and clothing industry
DC;Leather and footwear industry
DD;Woodworking and manufacture of wood products
DE;"Paper and cardboard industry; publishing and printing"
DF;Coking, refining and nuclear industries
DG;Chemical industry
DH;Rubber and plastics industry
DI;Manufacture of other non-metallic mineral products
DJ;Metallurgy and metalworking
DK;Manufacture of machinery and equipment
DL;Manufacture of electrical and electronic equipment
DM;Manufacture of transport equipment
DN;Other manufacturing industries
EE;Electricity, gas and water production and distribution
FF;Construction
GG;"Trade; repair of motor vehicles and household goods"
HH;Hotels and restaurants
II;Transport and communications
JJ;Financial activities
KK;Real estate, rental and business services
LL;Public administration
MM;Education
NN;Health and social services
OO;Community, social and personal services
PP;Domestic services
QQ;Extra-territorial activities
1;Agriculture, hunting and related services
2;Forestry, logging and related services
5;Fishing, aquaculture
10;Mining of hard coal, lignite and peat
11;"Extraction of hydrocarbons; related services"
12;Mining of uranium ores
13;Mining of metal ores
14;Other mining and quarrying
15;Food industry
16;Tobacco industry
17;Textile industry
18;Clothing and fur industry
19;Leather and footwear industry
20;Woodworking and manufacture of wood products
21;Paper and cardboard industry
22;Publishing, printing and reproduction
23;Coking, refining and nuclear industries
24;Chemical industry
25;Rubber and plastics industry
26;Manufacture of other non-metallic mineral products
27;Metalworking
28;Metalworking
29;Manufacture of machinery and equipment
30;Manufacture of office machinery and computers
31;Manufacture of electrical machinery and apparatus
32;Manufacture of radio, television and communication equipment
33;Manufacture of medical, precision, optical and watchmaking instruments
34;Automotive industry
35;Manufacture of other transport equipment
36;"Manufacture of furniture; miscellaneous industries"
37;Recycling
40;Electricity, gas and heat production and distribution
41;Water collection, treatment and distribution
45;Construction
50;Automotive trade and repair
51;Wholesale trade and commercial intermediaries
52;Retail trade and repair of household goods
55;Hotels and restaurants
60;Land transport
61;Water transport
62;Air transport
63;Auxiliary transport services
64;Post and telecommunications
65;Financial intermediation
66;Insurance
67;Financial and insurance auxiliaries
70;Real estate activities
71;Rental without operator
72;IT activities
73;Research and development
74;Services provided mainly to businesses
75;Public administration
80;Education
85;Health and social services
90;Sewerage, roads and waste management
91;Associative activities
92;Recreational, cultural and sporting activities
93;Personal services
95;Domestic services
99;Extra-territorial activities
01.1;Culture
01.2;Animal husbandry
01.3;Associated crop and livestock farming
01.4;Services ancillary to agriculture
01.5;Hunting
02.0;Forestry, logging and related services
05.0;Fishing, aquaculture
10.1;Mining and agglomeration of hard coal
10.2;Mining and agglomeration of lignite
10.3;Peat extraction and agglomeration
11.1;Hydrocarbon extraction
11.2;Services ancillary to hydrocarbon extraction
12.0;Uranium ore mining
13.1;Iron ore mining
13.2;Non-ferrous metal ore mining
14.1;Stone mining
14.2;Extraction of sands and clays
14.3;Extraction of minerals for the chemical industry and natural fertilizers
14.4;Salt production
14.5;Mining and quarrying n.e.c.
